index,Tweet Datetime,Tweet Text,tag
1,2021-09-19 10:38:47,check out this amazon deal apple airpods with charge case by apple via,neutral
2,2021-09-19 10:38:51,apple have cover all the finger,neutral
3,2021-09-19 10:38:54,it take an entire ecosystem to design and manufacture semiconductor be you willing to work hour shift for day a week in order to meet apple s deadline so customer can have the late iphone,neutral
4,2021-09-19 10:38:55,new apple iphone gb – purple,neutral
5,2021-09-19 10:39:01,fdbl news friendable s fan pas platform launch artist pro service for next level marketing wsj nytimes business reuters ihub stockposts forbes marketwatch cnn bet foxnews latimes benzinga apple usatoday espn barronsonline wgn,neutral
6,2021-09-19 10:39:03,number on global apple music album chart she s fuck big,neutral
7,2021-09-19 10:39:03,jay annapurna maa ji apple coconut burfee sweetdish apple coconut burfee pureveg recipe,neutral
8,2021-09-19 10:39:06,we believe that one of our mission be to promote r amp d relate to computer science and economics microsoft linux apple cybersecurity,positive
9,2021-09-19 10:39:16,apple iphone leak after the iphone launch check detail here technology news,neutral
10,2021-09-19 10:39:21,apple,neutral
11,2021-09-19 10:39:23,apple store second,neutral
12,2021-09-19 10:39:41,bad battery backup of iphone … battery heath to much fast decreasing in month please change battery free of cost,negative
13,2021-09-19 10:39:46,apple ii library the be collection,neutral
14,2021-09-19 10:39:54,watch everything apple launch this week,neutral
15,2021-09-19 10:39:56,interest conversation with mr hariom tatsat a uc berkeley alumnus and senior executive at an investment bank in new york regard ai democratization now available on apple podcast check it out,neutral
16,2021-09-19 10:40:01,this week in apps apple s iphone event app annie hit with security fraud opensea go mobile,neutral
17,2021-09-19 10:40:02,praise alert the app be back we at visual testament highly recommend the prayer book by christian word ministry apple user here be a link to the app for you to download for daily use prayerworks visualtestaments,neutral
18,2021-09-19 10:40:13,starstruck on iview or schmigadoon on apple,neutral
19,2021-09-19 10:40:18,apple have the same ad there be a legion of ‘ choose game for so much ugly stuff,neutral
