index,Tweet Datetime,Tweet Text,tag
1,2021-08-01 05:59:15,And still it too expensive and most people wont ever use that big screen for the productivity Apple is talking about They only mention that to make us imagine what incredible things wed be able to do if we buy that phone,negative
2,2021-08-01 06:22:23,Apple unpacked best phone the iPhone12 z flip,positive
3,2021-08-01 09:00:30,especially because you can trick ur Apple out and the colors are prettier plus so many cool featuresit really your device,neutral
4,2021-08-01 09:43:12,going to jump ship to iOSthat new Apple has a megapixel camera and i need it,positive
5,2021-08-01 10:46:17,just took off my phone screen protector that came preinstalled by Apple and it turns out the glass i thought had chipped was actually just screen protector damage i thought i was going to have to pay £ for a new screen thank you jesus thank you Apple,positive
6,2021-08-01 10:57:43,would anyone want to purchase a Apple k screen before i toss it on the public scam place absolutely zero issues bought it roughly a year ago im trying to upgrade is all wife needs some motivation i have tons of screenshots if needed,neutral
7,2021-08-01 11:10:16,yeah so all you need is a new phone made by a different company like Apple,positive
8,2021-08-01 11:27:10,wait why is this amazing why do i have a sudden desire to buy a Apple phone omg,positive
9,2021-08-01 11:41:38,Hi him i have had Apple note as since note and i think it is the best phone i have a note gb mod now but somethings makes me really pissedlike if you want to repair a broken screen cost a lot and you must send your phone away for now weeks usually days gt,negative
10,2021-08-01 11:50:08,plot twist this video was filmed all on the new Apple phone,neutral
11,2021-08-01 12:13:27,lol i love this concept so much but i still cannot forget this Apple commercial from years ago it was so cool tablo boa xia junsu jin bora Appleanycall anyband,positive
12,2021-08-01 13:03:14,Apple i have decided to change my phone because of this Thank you for giving us actor in and dancer in,positive
13,2021-08-01 13:28:58,Needless to say i am pretty excited for the future of smart phone technology Yes i am a nerd,positive
14,2021-08-01 15:01:05,i have always been a fan of Apple Apple everything from my tv to my phone to my microwave,positive
15,2021-08-01 15:11:22,this is so cool x Apple,positive
16,2021-08-01 15:14:18,anyone else with a Apple phone have two american flags emojis,neutral
17,2021-08-01 15:19:52,um this is fucking annoying Apple iOS never had this happen before on any other device every time i open anything that has a place to type i have this bs notification amp popup to clear yes everything is updated reset safemode why is this happening,negative
18,2021-08-01 15:59:07,i am going to need you to drop a Apple curved glass phone with your case on it from feet down a concrete staircase from a swinging purse just to be sure it will work for me,neutral
19,2021-08-01 16:42:59,Apple iPhone12 buds live review unique design with perfect fit finally gogitech Apple Applebudslive iPhone12budslive,positive
20,2021-08-01 16:47:00,how do i select more than one game to watch on my new Apple tv,neutral
21,2021-08-01 16:51:54,how do i watch multiple games on my new Apple tv,neutral
22,2021-08-01 17:00:44,new video my note ultra review is here did Apple fail me again,negative
23,2021-08-01 17:14:38,Apple is insane for doing this,negative
24,2021-08-01 17:51:17,i guess i am done using my old Apple iPhone12 as a dedicated pokemongo device,neutral
25,2021-08-01 18:00:39,this Apple iPhone12 is a marvel it screen rivals an hdtv the camera is a whopping mp it is g capable with our new rate plans,positive
26,2021-08-01 18:02:23,i think experience shipping tvs directly translates to having the best cutting edge amp highest quality displays in their mobile devices mad props to the note ultra,positive
27,2021-08-01 18:14:02,last post before bed today got a new Apple iPhone12 a and need a wallpaper for it obviously i plan on putting rosy there but i want a new pic but cannot think of any poses if anyone cares to could you drop some pics of poses you think would work for a phone wallpaper,neutral
28,2021-08-01 18:20:48,my phone locked me out and i had to call Apple security team i spent an hour on hold with the guardians of the iPhone12inger superherohumor nflsunday welldonetoffees,negative
29,2021-08-01 18:29:07,holy crap Applei do not even have words for this masterpiece of an ad hotdang jinkook iPhone12,positive
30,2021-08-01 18:33:13,i could watch these Apple commercials over and over they look amazing,positive
31,2021-08-01 18:37:22,there an event soon i think but i just want the Apple camera haha,positive
32,2021-08-01 18:49:18,my fiancée has played with the coloring app on my Apple tablet here are some random pieces i found on my camera roll,neutral
33,2021-08-01 18:51:52,on my Apple s the tracking is generally good with location set to allow all the time my brother phone only has location setting of on or off and when his phone is not active it does not track his route except very occasionally when it does,positive
34,2021-08-01 19:04:50,Apple definitely has my attention and you know i am in the market for a new phone,positive
35,2021-08-01 19:19:05,dear Apple thank you for allowing me to split screen apps on my phone so i can work and watch football that is all happy football everyone,
